TransactionID,ClientID,Date,Type,Ticker,Quantity,Price,Amount,Commission,NetAmount,AccountType,Status,Advisor
TXN000017,CLT0018,2024-02-04,Fee,N/A,0,0.00,-118.23,8.08,-118.23,IRA,Settled,Advisor_3
TXN000018,CLT0006,2024-05-01,Fee,N/A,0,0.00,-143.23,4.42,-143.23,Taxable,Settled,Advisor_2
TXN000019,CLT0018,2024-06-10,Sell,BND,41,255.84,10489.41,4.94,10489.41,Taxable,Settled,Advisor_1
TXN000020,CLT0003,2024-08-11,Sell,SPY,147,416.62,61243.37,7.57,61243.37,Taxable,Settled,Advisor_2
TXN000021,CLT0009,2024-07-16,Transfer Out,GOOGL,481,61.25,-29460.72,1.56,-29460.72,401k,Settled,Advisor_1
TXN000022,CLT0007,2024-01-13,Transfer Out,AAPL,98,392.09,-38424.40,4.16,-38424.40,401k,Settled,Advisor_1
TXN000023,CLT0013,2024-06-03,Buy,AAPL,228,240.36,-54802.54,9.78,-54809.31,401k,Settled,Advisor_2
TXN000024,CLT0001,2024-09-21,Buy,MSFT,472,116.93,-55190.82,0.18,-55199.66,IRA,Settled,Advisor_2
TXN000025,CLT0012,2024-03-04,Sell,GOOGL,153,217.76,33317.18,6.50,33317.18,Roth IRA,Settled,Advisor_3
TXN000026,CLT0012,2024-03-01,Dividend,QQQ,419,162.07,-67909.11,6.82,-67909.11,IRA,Settled,Advisor_2
TXN000027,CLT0011,2024-10-16,Transfer In,GLD,166,171.89,-28533.85,0.75,-28533.85,IRA,Settled,Advisor_3
TXN000028,CLT0019,2024-03-14,Dividend,SPY,333,281.74,-93818.07,4.27,-93818.07,Roth IRA,Settled,Advisor_2
TXN000029,CLT0014,2024-09-21,Dividend,GLD,382,367.61,-140428.42,3.45,-140428.42,IRA,Settled,Advisor_4
TXN000030,CLT0007,2024-07-11,Dividend,SPY,439,287.08,-126026.19,0.64,-126026.19,401k,Settled,Advisor_3
TXN000031,CLT0010,2024-05-18,Transfer In,AAPL,413,385.51,-159215.74,8.79,-159215.74,IRA,Settled,Advisor_2
TXN000032,CLT0014,2024-04-05,Transfer Out,SPY,156,63.15,-9850.79,3.98,-9850.79,Roth IRA,Settled,Advisor_4
TXN000033,CLT0011,2024-07-09,Sell,GOOGL,425,67.98,28893.13,3.74,28893.13,401k,Settled,Advisor_3
TXN000034,CLT0006,2024-10-27,Transfer Out,GLD,132,196.55,-25945.16,4.89,-25945.16,Taxable,Settled,Advisor_2
TXN000035,CLT0002,2024-01-05,Transfer Out,GOOGL,326,411.80,-134248.32,3.11,-134248.32,Roth IRA,Settled,Advisor_1
TXN000036,CLT0020,2024-04-10,Buy,VTI,248,362.08,-89795.12,1.58,-89802.92,Roth IRA,Settled,Advisor_5
TXN000037,CLT0002,2024-08-31,Buy,SPY,305,126.14,-38471.43,9.57,-38475.07,401k,Settled,Advisor_3
TXN000038,CLT0004,2024-08-04,Transfer In,VTI,103,397.37,-40929.24,0.30,-40929.24,Roth IRA,Settled,Advisor_3
TXN000039,CLT0007,2024-03-03,Fee,N/A,0,0.00,-80.93,1.34,-80.93,IRA,Settled,Advisor_4
TXN000040,CLT0003,2024-07-22,Transfer In,MSFT,476,390.00,-185640.48,5.91,-185640.48,Taxable,Settled,Advisor_3
TXN000041,CLT0008,2024-08-01,Fee,N/A,0,0.00,-85.09,7.93,-85.09,Taxable,Settled,Advisor_1
TXN000042,CLT0011,2024-01-12,Sell,GOOGL,434,67.94,29485.82,9.78,29485.82,Roth IRA,Settled,Advisor_1
TXN000043,CLT0012,2024-01-12,Transfer In,GOOGL,121,248.50,-30068.98,0.27,-30068.98,401k,Settled,Advisor_2
TXN000044,CLT0016,2024-08-20,Dividend,BND,123,253.25,-31149.37,8.01,-31149.37,IRA,Settled,Advisor_3
TXN000045,CLT0015,2024-06-04,Dividend,AAPL,146,237.51,-34676.40,5.25,-34676.40,Taxable,Settled,Advisor_3
TXN000046,CLT0001,2024-03-02,Dividend,QQQ,485,198.87,-96450.59,4.35,-96450.59,401k,Settled,Advisor_1
TXN000047,CLT0001,2024-06-24,Buy,GLD,320,223.41,-71492.18,1.54,-71497.17,401k,Settled,Advisor_3
TXN000048,CLT0014,2024-04-09,Sell,GOOGL,344,405.56,139511.33,3.98,139511.33,IRA,Settled,Advisor_1
TXN000049,CLT0011,2024-01-25,Transfer In,SPY,415,70.09,-29088.71,1.04,-29088.71,IRA,Settled,Advisor_3
TXN000050,CLT0002,2024-04-12,Transfer Out,GLD,456,321.53,-146617.56,6.67,-146617.56,401k,Settled,Advisor_3
TXN000051,CLT0012,2024-04-25,Buy,GLD,476,81.16,-38632.97,3.81,-38639.49,Roth IRA,Settled,Advisor_4
TXN000052,CLT0019,2024-07-10,Sell,AAPL,455,34.38,15643.11,5.72,15643.11,Taxable,Settled,Advisor_1
TXN000053,CLT0009,2024-10-08,Sell,VTI,273,327.62,89440.75,9.41,89440.75,401k,Settled,Advisor_5
TXN000054,CLT0007,2024-02-09,Sell,BND,402,315.25,126728.58,5.52,126728.58,Roth IRA,Settled,Advisor_3
TXN000055,CLT0015,2024-04-10,Sell,GOOGL,74,338.75,25067.49,9.51,25067.49,Roth IRA,Settled,Advisor_5
TXN000056,CLT0017,2024-08-01,Sell,BND,76,92.01,6992.75,0.69,6992.75,Taxable,Settled,Advisor_1
TXN000057,CLT0011,2024-06-23,Dividend,GOOGL,448,371.97,-166640.63,6.20,-166640.63,Roth IRA,Settled,Advisor_5
TXN000058,CLT0005,2024-03-01,Transfer In,GOOGL,323,365.03,-117904.40,5.46,-117904.40,401k,Settled,Advisor_4
TXN000059,CLT0020,2024-08-01,Transfer In,QQQ,87,411.12,-35767.56,8.36,-35767.56,Roth IRA,Settled,Advisor_3
TXN000060,CLT0010,2024-09-03,Buy,MSFT,107,124.48,-13319.74,6.36,-13324.52,Taxable,Settled,Advisor_4
TXN000061,CLT0005,2024-09-26,Fee,N/A,0,0.00,-128.71,6.19,-128.71,IRA,Settled,Advisor_4
TXN000062,CLT0013,2024-06-02,Sell,VTI,43,214.82,9237.40,3.75,9237.40,IRA,Settled,Advisor_1
TXN000063,CLT0013,2024-07-08,Sell,VTI,278,183.02,50878.52,0.91,50878.52,Taxable,Settled,Advisor_2
TXN000064,CLT0008,2024-04-08,Sell,BND,419,145.32,60889.83,7.06,60889.83,Roth IRA,Settled,Advisor_1
TXN000065,CLT0014,2024-07-23,Transfer Out,MSFT,115,266.34,-30629.37,3.92,-30629.37,Taxable,Settled,Advisor_4
TXN000066,CLT0010,2024-08-04,Sell,MSFT,195,325.38,63450.04,1.70,63450.04,Roth IRA,Settled,Advisor_3
TXN000067,CLT0008,2024-01-25,Transfer In,BND,257,143.23,-36811.25,8.93,-36811.25,Roth IRA,Settled,Advisor_3
TXN000068,CLT0017,2024-04-23,Buy,GLD,272,145.47,-39568.82,1.88,-39578.78,401k,Settled,Advisor_3
TXN000069,CLT0008,2024-05-25,Sell,QQQ,181,100.39,18171.23,6.04,18171.23,401k,Settled,Advisor_5
TXN000070,CLT0016,2024-05-23,Dividend,SPY,358,81.59,-29207.45,2.60,-29207.45,Roth IRA,Settled,Advisor_3
TXN000071,CLT0007,2024-09-19,Sell,QQQ,158,400.61,63296.07,2.72,63296.07,Roth IRA,Settled,Advisor_2
TXN000072,CLT0009,2024-08-01,Transfer In,GOOGL,185,321.09,-59402.26,0.45,-59402.26,Taxable,Settled,Advisor_3
TXN000073,CLT0006,2024-06-19,Fee,N/A,0,0.00,-106.71,7.03,-106.71,Taxable,Settled,Advisor_5
TXN000074,CLT0003,2024-04-11,Sell,BND,329,312.11,102683.54,4.41,102683.54,Taxable,Settled,Advisor_4
TXN000075,CLT0008,2024-04-19,Transfer In,QQQ,87,346.29,-30127.01,9.77,-30127.01,Taxable,Settled,Advisor_5
TXN000076,CLT0009,2024-05-12,Buy,VTI,170,130.98,-22267.07,1.15,-22270.44,IRA,Settled,Advisor_3
TXN000077,CLT0015,2024-02-11,Fee,N/A,0,0.00,-197.03,9.25,-197.03,IRA,Settled,Advisor_1
TXN000078,CLT0019,2024-08-25,Dividend,SPY,21,180.66,-3793.93,0.20,-3793.93,Roth IRA,Settled,Advisor_4
TXN000079,CLT0020,2024-07-09,Fee,N/A,0,0.00,-197.09,4.26,-197.09,Taxable,Settled,Advisor_2
TXN000080,CLT0006,2024-08-02,Dividend,VTI,429,325.07,-139456.87,2.66,-139456.87,401k,Settled,Advisor_5
TXN000081,CLT0003,2024-04-12,Dividend,MSFT,479,261.72,-125365.63,8.47,-125365.63,Taxable,Settled,Advisor_4
TXN000082,CLT0010,2024-03-24,Fee,N/A,0,0.00,-227.08,7.82,-227.08,Roth IRA,Settled,Advisor_4
TXN000083,CLT0009,2024-06-02,Sell,VTI,420,172.22,72330.99,5.14,72330.99,401k,Settled,Advisor_2
TXN000084,CLT0015,2024-03-18,Buy,BND,191,144.59,-27617.58,5.83,-27625.06,Roth IRA,Settled,Advisor_3
TXN000085,CLT0007,2024-10-02,Sell,VTI,384,64.81,24886.52,4.48,24886.52,Roth IRA,Settled,Advisor_1
TXN000086,CLT0014,2024-05-07,Buy,VTI,40,251.40,-10056.07,4.89,-10065.58,401k,Settled,Advisor_5
TXN000087,CLT0008,2024-08-12,Sell,GOOGL,22,173.27,3811.93,0.59,3811.93,401k,Settled,Advisor_5
TXN000088,CLT0015,2024-07-13,Sell,GOOGL,498,299.20,149001.54,5.53,149001.54,401k,Settled,Advisor_3
TXN000089,CLT0004,2024-07-07,Dividend,GLD,155,181.74,-28169.82,5.48,-28169.82,Taxable,Settled,Advisor_4
TXN000090,CLT0012,2024-10-26,Dividend,MSFT,230,365.35,-84029.37,4.09,-84029.37,401k,Settled,Advisor_2
TXN000091,CLT0015,2024-06-19,Dividend,VTI,469,323.06,-151513.50,4.29,-151513.50,401k,Settled,Advisor_3
TXN000092,CLT0020,2024-08-01,Transfer In,BND,129,274.61,-35425.33,6.27,-35425.33,IRA,Settled,Advisor_4
TXN000093,CLT0004,2024-01-02,Sell,SPY,311,392.69,122127.26,9.73,122127.26,IRA,Settled,Advisor_1
TXN000094,CLT0017,2024-04-02,Transfer In,BND,457,390.18,-178310.83,4.35,-178310.83,Taxable,Settled,Advisor_4
TXN000095,CLT0001,2024-01-20,Transfer In,AAPL,431,412.17,-177643.21,5.80,-177643.21,Taxable,Settled,Advisor_3
TXN000096,CLT0019,2024-02-18,Transfer Out,MSFT,248,327.60,-81245.47,9.39,-81245.47,Roth IRA,Pending,Advisor_1
TXN000097,CLT0004,2024-08-24,Transfer In,GLD,465,250.13,-116312.67,9.75,-116312.67,IRA,Pending,Advisor_4
TXN000098,CLT0007,2024-03-25,Dividend,AAPL,168,180.66,-30351.56,9.27,-30351.56,IRA,Pending,Advisor_2
TXN000099,CLT0010,2024-04-18,Sell,AAPL,203,175.33,35592.82,6.97,35592.82,Taxable,Pending,Advisor_1
TXN000100,CLT0019,2024-02-07,Dividend,QQQ,14,246.95,-3457.24,6.69,-3457.24,IRA,Pending,Advisor_5
